Наименование закупки;Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата окончания подачи заявок;
Поставка мыла жидкого, швабр, тряпок;'223032648310603260100101610010000244';;;28410.00;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КОМБИНАТ ПО БЛАГОУСТРОЙСТВУ Г. УЛАН-УДЭ""";"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ПО МУНИЦИПАЛЬНЫМ ЗАКУПКАМ АДМИНИСТРАЦИИ Г.УЛАН-УДЭ""";26.05.2022;03.06.2022;NA
Поставка исследовательского стереомикроскопа с принадлежностями;'221381101443338120100100260012670244';;;1790640.00;RUB;NA;NA;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ЛИМНОЛОГИЧЕСКИЙ ИНСТИТУТ СИБИРСКОГО ОТДЕЛЕНИЯ РОССИЙСКОЙ АКАДЕМИИ НАУК;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ЛИМНОЛОГИЧЕСКИЙ ИНСТИТУТ СИБИРСКОГО ОТДЕЛЕНИЯ РОССИЙСКОЙ АКАДЕМИИ НАУК;26.05.2022;03.06.2022;NA
Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у заказчика экземплярами Систем КонсультантПлюс в 3 квартале 2022 года;'222790000211679010100100130016202242';;;116496.00;RUB;NA;NA;ЗАКОНОДАТЕЛЬНОЕ СОБРАНИЕ ЕВРЕЙСКОЙ АВТОНОМНОЙ ОБЛАСТИ;ЗАКОНОДАТЕЛЬНОЕ СОБРАНИЕ ЕВРЕЙСКОЙ АВТОНОМНОЙ ОБЛАСТИ;27.05.2022;06.06.2022;NA
"Выполнение работ по безопасности дорожного движения на территории городского поселения ""Город Вяземский""";'223271100673327110100102420014211244';;;572808.00;RUB;NA;NA;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ПОСЕЛЕНИЯ ""ГОРОД ВЯЗЕМСКИЙ"" ВЯЗЕМСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ХАБАРОВСКОГО КРАЯ";"АДМИНИСТРАЦИЯ ГОРОДСКОГО ПОСЕЛЕНИЯ ""ГОРОД ВЯЗЕМСКИЙ"" ВЯЗЕМСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ХАБАРОВСКОГО КРАЯ";27.05.2022;06.06.2022;NA
Поставка цыплят;'222380310109738040100102800011012244';;;102375.00;RUB;NA;NA;"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ""БРАТСКАЯ ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА""";"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ""БРАТСКАЯ ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА""";26.05.2022;03.06.2022;NA
Поставка строительных материалов (фанера);'222031400381303140100100750011621611';;;109769.46;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""МУХОРШИБИРСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""МУХОРШИБИРСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";30.05.2022;06.06.2022;NA
Выполнение работ по демонтажу существующей и монтажу новой  системы пожарной сигнализации и системы оповещения и управления эвакуацией людей при пожаре в помещениях здания ГБУ АО «Архаринский КЦСОН»;'222281000371928100100100030014321244';;;1754858.84;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ АМУРСКОЙ ОБЛАСТИ ""АРХАРИНСКИЙ КОМПЛЕКСНЫЙ ЦЕНТР СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ""";УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА АМУРСКОЙ ОБЛАСТИ;25.05.2022;02.06.2022;NA
Выполнение работ по подготовке проектной документации, инженерных изысканий и строительству объекта капитального строительства «Офис врача общей практики в п. Крутогоровский Соболевского района Камчатского края»;'222410113877141010100100340024120414';;;145211270.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА ЗАКАЗЧИКА МИНИСТЕРСТВА СТРОИТЕЛЬСТВА И ЖИЛИЩНОЙ ПОЛИТИКИ КАМЧАТСКОГО КРАЯ""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА ЗАКАЗЧИКА МИНИСТЕРСТВА СТРОИТЕЛЬСТВА И ЖИЛИЩНОЙ ПОЛИТИКИ КАМЧАТСКОГО КРАЯ""";26.05.2022;03.06.2022;NA
Поставка цветочной рассады и кустарников;'223650900470765090100100050010000244';;;398200.00;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ СТАНЦИЯ ЮНЫХ НАТУРАЛИСТОВ Г. ХОЛМСКА МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ХОЛМСКИЙ ГОРОДСКОЙ ОКРУГ"" САХАЛИНСКОЙ ОБЛАСТИ";"ДЕПАРТАМЕНТ ОБРАЗОВАНИЯ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ХОЛМСКИЙ ГОРОДСКОЙ ОКРУГ""";27.05.2022;05.06.2022;NA
Поставка говядины замороженной для детского питания;'222380310109738040100102790011011244';;;342000.00;RUB;NA;NA;"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ""БРАТСКАЯ ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА""";"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ""БРАТСКАЯ ДЕТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА""";26.05.2022;03.06.2022;NA
Приобретение жилого помещения в благоустроенном жилом доме детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, на территории Чугуевского района Приморского края;'223253400004025340100100780116810412';;;2707740.00;RUB;NA;NA;АДМИНИСТРАЦИЯ ЧУГУЕВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;АДМИНИСТРАЦИЯ ЧУГУЕВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;26.05.2022;03.06.2022;NA
Поставка расходных материалов для родильного отделения;'222030700413203070100101350010000244';;;62068.26;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЗАКАМЕНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЗАКАМЕНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";25.05.2022;02.06.2022;NA
Поставка шовного материала ;;1;Поставка шовного материала ;188321.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ АМУРСКОЙ ОБЛАСТИ ""АМУРСКАЯ ОБЛАСТНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА""";;27.05.2022;06.06.2022;NA
"Поставка технических средств реабилитации для оснащения пунктов проката ГБУ ""ЦСОН Сахалинской области""- костыли";'222650116991565010100100780013250244';;;32309.97;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ САХАЛИНСКОЙ ОБЛАСТИ""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ САХАЛИНСКОЙ ОБЛАСТИ""";25.05.2022;06.06.2022;NA
Поставка одноразовых изделий из нетканых материалов;'222381200059238120100101060013250244';;;83088.00;RUB;NA;NA;"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ИРКУТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА № 6""";"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ИРКУТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА № 6""";26.05.2022;03.06.2022;NA
Поставка медицинских изделий- медицинские столы, ввод в эксплуатацию медицинских изделий, обучение правилам эксплуатации специалистов, эксплуатирующих медицинские изделия, и специалистов, осуществляющих техническое обслуживание медицинских изделий;'222381200059238120100101020013250244';;;55243.34;RUB;NA;NA;"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ИРКУТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА № 6""";"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ИРКУТСКАЯ ГОРОДСКАЯ БОЛЬНИЦА № 6""";26.05.2022;03.06.2022;NA
Оказание охранных услуг;;1;Оказание охранных услуг;2714018.40;RUB;NA;NA;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ДАЛЬНЕВОСТОЧНЫЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ПУТЕЙ СООБЩЕНИЯ""";;30.05.2022;;NA
Приобретение средств личной гигиены;'222250700670125070100100530011722244';;;31360.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ ""ЛЕСОЗАВОДСКИЙ СОЦИАЛЬНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ДЛЯ НЕСОВЕРШЕННОЛЕТНИХ ""ЖЕМЧУЖИНКА""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ ""ЛЕСОЗАВОДСКИЙ СОЦИАЛЬНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ДЛЯ НЕСОВЕРШЕННОЛЕТНИХ ""ЖЕМЧУЖИНКА""";26.05.2022;06.06.2022;NA
Приобретение в муниципальную собственность муниципального образования «Прибайкальский район» жилого помещения (не менее 45,4 м2) на вторичном рынке, находящегося на территории Прибайкальского района в рамках реализации муниципальной программы «По переселению граждан из аварийного жилищного фонда, признанного таковым до 01 января 2017года на период 2019-2024 годов». ;'223031618370603160100100220016810412';;;1030580.00;RUB;NA;NA;КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ХОЗЯЙСТВОМ;ПРИБАЙКАЛЬСКАЯ РАЙОННАЯ АДМИНИСТРАЦИЯ;26.05.2022;03.06.2022;NA
Поставка продуктов питания (соль);'222381901229038510100102180011084244';;;4101.75;RUB;NA;NA;"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""УСОЛЬСКАЯ ГОРОДСКАЯ БОЛЬНИЦА""";"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""УСОЛЬСКАЯ ГОРОДСКАЯ БОЛЬНИЦА""";27.05.2022;06.06.2022;NA
Приобретение благоустроенного жилого помещения для обеспечения в 2022 году детей-сирот и детей, оставшихся без попечения родителей, специализированными жилыми помещениями на основании Закона Магаданской области от 22.06.2007 № 875-ОЗ «О наделении органов местного самоуправления государственными полномочиями Магаданской области по обеспечению отдельных категорий граждан жилыми помещениями»;'223490911173149090100100350016810412';;;3370025.70;RUB;NA;NA;УПРАВЛЕНИЕ ПО УЧЕТУ И РАСПРЕДЕЛЕНИЮ ЖИЛОЙ ПЛОЩАДИ МЭРИИ ГОРОДА МАГАДАНА;МЭРИЯ ГОРОДА МАГАДАНА;26.05.2022;03.06.2022;NA
Поставка нефтепродуктов;'222270400317827040100100260011920244';;;414240.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СОВЕТСКОЕ ЛЕСНИЧЕСТВО""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СОВЕТСКОЕ ЛЕСНИЧЕСТВО""";26.05.2022;02.06.2022;NA
Поставка лекарственных препаратов (Адеметионин);'222143506040914350100100122530000244';;;2520000.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЯКУТСКИЙ РЕСПУБЛИКАНСКИЙ ОНКОЛОГИЧЕСКИЙ ДИСПАНСЕР""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";27.05.2022;06.06.2022;NA
покупка жилого помещения на территории города Абакана Республики Хакасия;'223190202993019020100100300016810412';;;2837500.00;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""КОМИТЕТ ПО УПРАВЛЕНИЮ СПЕЦИАЛИЗИРОВАННЫМ ЖИЛИЩНЫМ ФОНДОМ АСКИЗСКОГО РАЙОНА""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""КОМИТЕТ ПО УПРАВЛЕНИЮ СПЕЦИАЛИЗИРОВАННЫМ ЖИЛИЩНЫМ ФОНДОМ АСКИЗСКОГО РАЙОНА""";27.05.2022;06.06.2022;NA
Оказание услуг по развитию программного обеспечения региональной государственной информационной системы «Природопользование и охрана окружающей среды»;'222143523653214350100101150010000244';;;4450000.00;RUB;NA;NA;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""РЕСПУБЛИКАНСКИЙ ЦЕНТР ИНФОКОММУНИКАЦИОННЫХ ТЕХНОЛОГИЙ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";25.05.2022;02.06.2022;NA
Приобретение в муниципальную собственность муниципального образования «Прибайкальский район» жилого помещения (не менее 42,0 м2) на вторичном рынке, находящегося на территории Прибайкальского района в рамках реализации муниципальной программы «По переселению граждан из аварийного жилищного фонда, признанного таковым до 01 января 2017года на период 2019-2024 годов». ;'223031618370603160100100210016810412';;;953400.00;RUB;NA;NA;КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ХОЗЯЙСТВОМ;ПРИБАЙКАЛЬСКАЯ РАЙОННАЯ АДМИНИСТРАЦИЯ;26.05.2022;03.06.2022;NA
Поставка изделий медицинского назначения;'222245400250024540100101830013250244';;;449400.00;RUB;NA;NA;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ  БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЛЕСОСИБИРСКАЯ МЕЖРАЙОННАЯ БОЛЬНИЦА""";"КРАЕВОЕ ГОСУДАРСТВЕННОЕ  БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЛЕСОСИБИРСКАЯ МЕЖРАЙОННАЯ БОЛЬНИЦА""";24.05.2022;03.06.2022;NA
Оказание услуг по изготовлению информационных стендов;'223246601065724660100100330011812244';;;17900.00;RUB;NA;NA;ДЕПАРТАМЕНТ МУНИЦИПАЛЬНОГО ИМУЩЕСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ ГОРОДА КРАСНОЯРСКА;ДЕПАРТАМЕНТ МУНИЦИПАЛЬНОГО ЗАКАЗА АДМИНИСТРАЦИИ ГОРОДА КРАСНОЯРСКА;25.05.2022;02.06.2022;NA
Поставка компьютера в сборе;'223030816117703080100100570012620244';;;141000.00;RUB;NA;NA;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ХОЗЯЙСТВЕННО - ТРАНСПОРТНЫЙ ОТДЕЛ  АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ИВОЛГИНСКИЙ РАЙОН""";"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ХОЗЯЙСТВЕННО - ТРАНСПОРТНЫЙ ОТДЕЛ  АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ИВОЛГИНСКИЙ РАЙОН""";26.05.2022;03.06.2022;NA
